150
4
Sepal_Length,Sepal_Width,Petal_Length,Petal_Width
5.4,3.0,4.5,1.5,Iris-versicolor
6.0,3.4,4.5,1.6,Iris-versicolor
6.7,3.1,4.7,1.5,Iris-versicolor
6.3,2.3,11,11,Iris-versicolor
5.6,3.0,11,11,Iris-versicolor
5.5,2.5,11,11,Iris-versicolor
5.5,2.6,11,11,Iris-versicolor
6.1,3.0,4.6,1.4,Iris-versicolor
5.8,2.6,11,11,Iris-versicolor
5.0,2.3,11,11,Iris-versicolor
5.6,2.7,11,11,Iris-versicolor
5.7,3.0,11,11,Iris-versicolor
5.7,2.9,11,11,Iris-versicolor
6.2,2.9,11,11,Iris-versicolor
5.1,2.5,11,11,Iris-versicolor
5.7,2.8,11,11,Iris-versicolor
6.3,3.3,12,12,Iris-virginica
5.8,2.7,5.1,12,Iris-virginica
12,3.0,12,12,Iris-virginica
6.3,2.9,12,1.8,Iris-virginica
6.5,3.0,12,12,Iris-virginica
12,3.0,12,12,Iris-virginica
4.9,2.5,4.5,1.7,Iris-virginica
12,2.9,12,1.8,Iris-virginica
6.7,2.5,12,1.8,Iris-virginica
12,3.6,12,12,Iris-virginica
6.5,3.2,5.1,12,Iris-virginica
6.4,2.7,12,12,Iris-virginica
6.8,3.0,12,12,Iris-virginica
5.7,2.5,5.0,12,Iris-virginica
5.8,2.8,5.1,12,Iris-virginica
6.4,3.2,12,12,Iris-virginica
6.5,3.0,12,1.8,Iris-virginica
12,3.8,12,12,Iris-virginica
12,2.6,12,12,Iris-virginica
6.0,2.2,5.0,1.5,Iris-virginica
6.9,3.2,12,12,Iris-virginica
5.6,2.8,4.9,12,Iris-virginica
12,2.8,12,12,Iris-virginica
6.3,2.7,4.9,1.8,Iris-virginica
6.7,3.3,12,12,Iris-virginica
12,3.2,12,1.8,Iris-virginica
6.2,2.8,4.8,1.8,Iris-virginica
6.1,3.0,4.9,1.8,Iris-virginica
6.4,2.8,12,12,Iris-virginica
12,3.0,12,1.6,Iris-virginica
12,2.8,12,12,Iris-virginica
12,3.8,12,12,Iris-virginica
6.4,2.8,12,12,Iris-virginica
6.3,2.8,5.1,1.5,Iris-virginica
6.1,2.6,12,1.4,Iris-virginica
12,3.0,12,12,Iris-virginica
6.3,3.4,12,12,Iris-virginica
6.4,3.1,12,1.8,Iris-virginica
6.0,3.0,4.8,1.8,Iris-virginica
6.9,3.1,12,12,Iris-virginica
6.7,3.1,12,12,Iris-virginica
6.9,3.1,5.1,12,Iris-virginica
5.8,2.7,5.1,12,Iris-virginica
6.8,3.2,12,12,Iris-virginica
6.7,3.3,12,12,Iris-virginica
6.7,3.0,12,12,Iris-virginica
6.3,2.5,5.0,12,Iris-virginica
6.5,3.0,12,12,Iris-virginica
6.2,3.4,12,12,Iris-virginica
5.9,3.0,5.1,1.8,Iris-virginica
